,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
498,data/parsed/22/wsj_2202.mrg|11|4,"[ The A-men batting Nos. 6 through 9 , ] a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .",Nos.,sg,NNP,,,NP,"['CD', 'IN', 'CD', ',']","['JJ', 'NN']",False,"['<number>', 'through', '<number>', ',']",['a.k.a.'],"['A-men', 'batting']",[],ZERO,THE
509,data/parsed/22/wsj_2202.mrg|12|36,Right-hander Dave Stewart held the Giants to five hits to account for [ the zero ] on the other side of the Saturday ledger .,zero,,CD,[u'relative_quantity.n.01'],,PP,[],[],False,[],['on'],[],"['account', 'for']",ZERO,THE
514,data/parsed/22/wsj_2202.mrg|13|15,"That he was [ the A 's ] winningest pitcher during its American League campaign with a 21-9 mark , plus two wins over Toronto in the playoffs , indicates he may have some evening up coming , but with the way his split-fingered fastball is behaving , that might not be this week .",A,sg,NNP,[u'metric_linear_unit.n.01'],,NPB,['POS'],[],False,"[""'s""]","['winningest', 'pitcher']",[],"['he', u'be']",ZERO,THE
519,data/parsed/22/wsj_2202.mrg|13|69,"That he was the A 's winningest pitcher during its American League campaign with a 21-9 mark , plus two wins over Toronto in [ the playoffs , ] indicates he may have some evening up coming , but with the way his split-fingered fastball is behaving , that might not be this week .",playoff,pl,NN,[u'contest.n.01'],,PP,"[',']",[],False,"[',']","[u'indicate', 'he']",[],"['Toronto', 'in']",ZERO,THE
530,data/parsed/22/wsj_2202.mrg|14|49,"The same goes for Mike Moore , another veteran who overcame early struggles to permit [ the Giants ] but a run and four hits in seven innings in Sunday 's contest .",Giants,pl,NNP,[u'animal.n.01'],,VP,[],[],True,[],['but'],[],"['to', 'permit']",ZERO,THE
545,data/parsed/22/wsj_2202.mrg|16|41,"He 's an ex-hurler who 's one of the leading gurus of [ the fashionable delivery , ] which looks like a fastball until it dives beneath the lunging bat .",delivery,sg,NN,[u'transportation.n.02'],,PP,"[',']",['JJ'],False,"[',']","['which', u'look']",['fashionable'],"[u'guru', 'of']",ZERO,THE
551,data/parsed/22/wsj_2202.mrg|17|24,The upshot of the downshoot is that [ the A 's ] go into San Francisco 's Candlestick Park tonight up two games to none in the best-of-seven fest .,A,sg,NNP,[u'metric_linear_unit.n.01'],,S,['POS'],[],True,"[""'s""]","['go', 'into']",[],"[u'be', 'that']",ZERO,THE
558,data/parsed/22/wsj_2202.mrg|18|4,[ The stat ] to reckon with here says that about three of four clubs -LRB- 29 of 39 -RRB- that took 2-0 Series leads went on to win it all .,stat,sg,NN,,,NP,[],[],False,[],"['to', 'reckon']",[],[],ZERO,THE
570,data/parsed/22/wsj_2202.mrg|20|18,"One might think that [ the home fans ] in this Series of the Subway Called BART -LRB- that 's a better name for a public conveyance than `` Desire , '' do n't you think ? -RRB- would have been ecstatic over the proceedings , but they observe them in relative calm .",fan,pl,NN,[u'device.n.01'],,NP,[],['NN'],False,[],"['in', 'this']",['home'],"['think', 'that']",ZERO,THE
572,data/parsed/22/wsj_2202.mrg|20|38,"One might think that the home fans in this Series of [ the Subway Called BART ] -LRB- that 's a better name for a public conveyance than `` Desire , '' do n't you think ? -RRB- would have been ecstatic over the proceedings , but they observe them in relative calm .",BART,sg,NNP,[u'aristocrat.n.01'],,NP,[],"['NNP', 'NNP']",False,[],"['-LRB-', 'that']","['Subway', 'Called']","['Series', 'of']",ZERO,THE
583,data/parsed/22/wsj_2202.mrg|21|11,"Partisans of [ the two combatants ] sat side by side in the 49,000-plus seats of Oakland Coliseum , and while they cheered their favorites and booed the opposition , hostilities advanced no further , at least as far as I could see .",combatant,pl,NN,[u'person.n.01'],,PP,[],['CD'],False,[],"[u'sit', 'side']",['two'],"['Partisans', 'of']",ZERO,THE
585,data/parsed/22/wsj_2202.mrg|21|34,"Partisans of the two combatants sat side by side in [ the 49,000-plus seats ] of Oakland Coliseum , and while they cheered their favorites and booed the opposition , hostilities advanced no further , at least as far as I could see .",seat,pl,NN,[u'room.n.02'],,NP,[],['JJ'],False,[],"['of', 'Oakland']","['49,000-plus']","['side', 'in']",ZERO,THE
589,data/parsed/22/wsj_2202.mrg|21|75,"Partisans of the two combatants sat side by side in the 49,000-plus seats of Oakland Coliseum , and while they cheered their favorites and booed [ the opposition , ] hostilities advanced no further , at least as far as I could see .",opposition,sg,NN,[u'action.n.01'],,VP,"[',']",[],False,"[',']","[u'hostility', u'advance']",[],"['and', u'boo']",ZERO,THE
594,data/parsed/22/wsj_2202.mrg|22|31,A few folks even showed up wearing caps bearing [ the colors and emblems ] of both teams .,emblem,pl,NN,[u'design.n.04'],,NP,[],"['NNS', 'CC']",False,[],"['of', 'both']","[u'color', 'and']","[u'cap', u'bear']",ZERO,THE
597,data/parsed/22/wsj_2202.mrg|23|14,"`` I 'm for [ the Giants ] today , but only because they lost yesterday .",Giants,sg,NNP,[u'animal.n.01'],,PP,[],[],False,[],"['today', ',']",[],"[""'m"", 'for']",ZERO,THE
612,data/parsed/22/wsj_2202.mrg|26|3,[ The above ] represents a triumph of either apathy or civility .,above,,JJ,[u'section.n.01'],,S,[],[],False,[],[u'represent'],[],[],ZERO,THE
619,data/parsed/22/wsj_2202.mrg|27|48,"I choose to believe it 's the latter , although it probably springs from [ the fact ] that just about everyone out here , including the A 's and Giants , is originally from somewhere else .",fact,sg,NN,[u'information.n.02'],,NP,[],[],False,[],"['that', 'just']",[],"[u'spring', 'from']",ZERO,THE
621,data/parsed/22/wsj_2202.mrg|27|77,"I choose to believe it 's the latter , although it probably springs from the fact that just about everyone out here , including [ the A 's ] and Giants , is originally from somewhere else .",A,sg,NNP,[u'metric_linear_unit.n.01'],,NP,['POS'],[],True,"[""'s""]","['and', 'Giants']",[],"[',', u'include']",ZERO,THE
636,data/parsed/22/wsj_2202.mrg|29|8,"Anyway , [ the A 's ] gave you a lot of heroes to root for .",A,sg,NNP,[u'metric_linear_unit.n.01'],,S,['POS'],[],True,"[""'s""]","[u'give', 'you']",[],"['Anyway', ',']",ZERO,THE
661,data/parsed/22/wsj_2202.mrg|32|19,"Such is his reputation among [ the East Bay Bashers ] that when he hit his first career home run last season , the fan who caught it agreed to turn the ball over to him in return for an autograph .",Bashers,pl,NN,,,NP,[],"['NNP', 'NNP']",False,[],"['that', 'when']","['East', 'Bay']","['reputation', 'among']",ZERO,THE
681,data/parsed/22/wsj_2202.mrg|35|16,"He smoked Toronto in [ the playoffs ] with six hits , seven walks and eight stolen bases in 22 at bats , and continued that by going 3-for-3 at the plate Sunday , along with walking , stealing a base and scoring a run .",playoff,pl,NN,[u'contest.n.01'],,PP,[],[],False,[],"['with', 'six']",[],"['Toronto', 'in']",ZERO,THE
693,data/parsed/22/wsj_2202.mrg|36|19,"`` When you 're in [ the groove , ] you see every ball tremendously , '' he lectured .",groove,sg,NN,[u'depression.n.08'],,PP,"[',']",[],False,"[',']","['you', 'see']",[],"[""'re"", 'in']",ZERO,THE
697,data/parsed/22/wsj_2202.mrg|37|4,"[ The cold guys ] in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .",guy,pl,NN,[u'man.n.01'],,NP,[],['JJ'],False,[],['in'],['cold'],[],ZERO,THE
702,data/parsed/22/wsj_2202.mrg|37|44,"The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , [ the Giants ' ] 3-4-5 hitters .",Giants,pl,NNP,[u'animal.n.01'],,NPB,['POS'],[],False,"[""'""]","['3-4-5', u'hitter']",[],"['Williams', ',']",ZERO,THE
707,data/parsed/22/wsj_2202.mrg|38|45,"They combined for 25 hits , six home runs and 24 runs batted in in [ the five games ] against the Cubs .",game,pl,NN,[u'activity.n.01'],,PP,[],['CD'],True,[],['against'],['five'],"['in', 'in']",ZERO,THE
708,data/parsed/22/wsj_2202.mrg|38|55,"They combined for 25 hits , six home runs and 24 runs batted in in the five games against [ the Cubs . ]",Cubs,pl,NN,[u'novice.n.02'],,PP,['.'],[],False,['.'],[],[],"[u'game', 'against']",ZERO,THE
717,data/parsed/22/wsj_2202.mrg|40|50,"It 's that last set of numbers , as much as anything else , that gives [ the Giants ] hope in the Series games to come .",Giants,pl,NNP,[u'animal.n.01'],,VP,[],[],True,[],"['hope', 'in']",[],"['that', u'give']",ZERO,THE
862,data/parsed/22/wsj_2204.mrg|1|79,"Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to Performance , '' I 'm delighted that Wall Street is finally tuning in to [ the hard , cold facts ] of the real working world .",fact,pl,NN,[u'information.n.02'],,NP,[],"['JJ', ',', 'JJ']",False,[],['of'],"['hard', ',', 'cold']","['in', 'to']",ZERO,THE
866,data/parsed/22/wsj_2204.mrg|2|41,"If the firms are serious , however , why limit the practice to [ the poor , maligned analysts ] whose ability to see into the future is fragile at best ?",analyst,pl,NN,[u'expert.n.01'],,NP,[],"['JJ', ',', 'JJ']",False,[],"['whose', 'ability']","['poor', ',', 'maligned']","['practice', 'to']",ZERO,THE
870,data/parsed/22/wsj_2204.mrg|3|25,"Why not extend the same harsh standards to [ the sales force , ] and pay brokers a base salary with annual bonus based on how much money they made for their clients during the year ?",force,sg,NN,[u'influence.n.01'],,PP,"[',']",['NNS'],False,"[',']","['and', 'pay']",[u'sale'],"[u'standard', 'to']",ZERO,THE
905,data/parsed/22/wsj_2205.mrg|3|26,"`` I had calls all night long from [ the States , '' ] he said .",States,pl,NNP,[u'administrative_district.n.01'],,PP,"[',', ""''""]",[],False,"[',', ""''""]","['he', u'say']",[],"['long', 'from']",ZERO,THE
919,data/parsed/22/wsj_2205.mrg|6|51,"For many of London 's securities traders , it was a day that started nervously in [ the small hours . ]",hour,pl,NN,[u'work_time.n.01'],,PP,['.'],['JJ'],True,['.'],[],['small'],"['nervously', 'in']",ZERO,THE
921,data/parsed/22/wsj_2205.mrg|7|11,"By lunchtime , [ the selling ] was at near-panic fever .",selling,sg,NN,[u'commerce.n.01'],,S,[],[],False,[],"[u'be', 'at']",[],"['lunchtime', ',']",ZERO,THE
925,data/parsed/22/wsj_2205.mrg|8|33,"But as the day ended in a frantic Wall Street-inspired rally , [ the City ] breathed a sigh of relief .",City,sg,NNP,[u'municipality.n.01'],,S,[],[],False,[],[u'breathe'],[],"['rally', ',']",ZERO,THE
930,data/parsed/22/wsj_2205.mrg|9|18,So it went yesterday in [ the trading rooms ] of London 's financial district .,room,pl,NN,[u'apartment.n.01'],,NP,[],['NN'],False,[],"['of', 'London']",['trading'],"['yesterday', 'in']",ZERO,THE
949,data/parsed/22/wsj_2205.mrg|12|40,"By the time trading officially got under way at 9 a.m. , [ the news ] from Asia was in .",news,sg,NN,[u'information.n.01'],,NP,[],[],False,[],"['from', 'Asia']",[],"['a.m.', ',']",ZERO,THE
965,data/parsed/22/wsj_2205.mrg|15|48,"At Jefferies ' trading room on Finsbury Circus , a stately circle at the edge of [ the financial district , ] desktop computer screens displayed the London market 's major barometer -- the Financial Times-Stock Exchange 100 Share Index .",district,sg,NN,[u'region.n.03'],,PP,"[',']",['JJ'],False,"[',']","['desktop', 'computer']",['financial'],"['edge', 'of']",ZERO,THE
971,data/parsed/22/wsj_2205.mrg|16|12,"Red figures on [ the screens ] indicated falling stocks ; blue figures , rising stocks .",screen,pl,NN,[u'surface.n.01'],,PP,[],[],True,[],"[u'indicate', u'fall']",[],"[u'figure', 'on']",ZERO,THE
975,data/parsed/22/wsj_2205.mrg|17|10,"Right away , [ the reds ] outnumbered the blues , 80 to 20 , as the index opened at 2076.8 , off 157.1 points , or 7 % .",red,pl,NN,[u'chromatic_color.n.01'],,S,[],[],False,[],[u'outnumber'],[],"['away', ',']",ZERO,THE
976,data/parsed/22/wsj_2205.mrg|17|18,"Right away , the reds outnumbered [ the blues , ] 80 to 20 , as the index opened at 2076.8 , off 157.1 points , or 7 % .",blue,pl,NN,"[u'black_music.n.01', u'folk_song.n.01']",,VP,"[',']",[],True,"[',']","['<number>', 'to']",[],"[u'red', u'outnumber']",ZERO,THE
1005,data/parsed/22/wsj_2205.mrg|22|25,"Jefferies spent most of its energies in [ the morning ] trying to match buyers and sellers , and there were n't many buyers .",morning,sg,NN,[u'time_period.n.01'],,PP,[],[],False,[],"[u'try', 'to']",[],"[u'energy', 'in']",ZERO,THE
1024,data/parsed/22/wsj_2205.mrg|26|6,"On [ the screens , ] only two forlorn blue figures remained , but the index had recovered a few points and was off about 140 .",screen,pl,NN,[u'surface.n.01'],,PP,"[',']",[],False,"[',']","['only', 'two']",[],['On'],ZERO,THE
1050,data/parsed/22/wsj_2205.mrg|30|45,"But the market sensed a serious buyer on a day dominated by selling , and [ the quotes ] immediately jumped to 850 pence .",quote,pl,NN,[u'punctuation.n.02'],,S,[],[],True,[],"['immediately', u'jump']",[],"[',', 'and']",ZERO,THE
1061,data/parsed/22/wsj_2205.mrg|33|21,He temporarily abandoned his search for [ the Reuters shares . ],share,pl,NN,[u'assets.n.01'],,PP,['.'],['NNP'],True,['.'],[],['Reuters'],"['search', 'for']",ZERO,THE
1108,data/parsed/22/wsj_2205.mrg|43|83,"`` France opened the limit down , off at least 10 % if you could calculate the index , which you could n't , '' Mr. Clark , [ the Shearson trader , ] said early in the afternoon .",trader,sg,NN,[u'merchant.n.01'],,NP,"[',']",['NNP'],True,"[',']","[u'say', 'early']",['Shearson'],"['Clark', ',']",ZERO,THE
1109,data/parsed/22/wsj_2205.mrg|43|101,"`` France opened the limit down , off at least 10 % if you could calculate the index , which you could n't , '' Mr. Clark , the Shearson trader , said early in [ the afternoon . ]",afternoon,sg,NN,[u'day.n.04'],,PP,['.'],[],False,['.'],[],[],"['early', 'in']",ZERO,THE
1127,data/parsed/22/wsj_2205.mrg|47|47,"In the center of the trading floor , chief trader Roger Streeter and two colleagues scrambled for [ the telephones ] as soon as the New York market opened -- plummeting more than 60 points in the first few minutes .",telephone,pl,NN,[u'electronic_equipment.n.01'],,PP,[],[],False,[],"['as', 'soon']",[],"[u'scramble', 'for']",ZERO,THE
1139,data/parsed/22/wsj_2205.mrg|49|63,"As Wall Street traders dumped American Depositary Receipts in Jaguar PLC , Mr. Streeter and trader Sam Ruiz bought them to resell in [ the U.K . ]",U.K,sg,NNP,,,PP,['.'],[],False,['.'],[],[],"['resell', 'in']",ZERO,THE
1213,data/parsed/22/wsj_2207.mrg|2|53,"The collapsed plan to acquire UAL Corp. , parent of United Airlines , spurred quick action on [ the legislation , ] introduced Wednesday and approved by the subcommittee on a voice vote yesterday .",legislation,sg,NN,[u'civil_law.n.01'],,NP,"[',']",[],False,"[',']","[u'introduce', 'Wednesday']",[],"['action', 'on']",ZERO,THE
1258,data/parsed/22/wsj_2207.mrg|8|15,He also said [ the fact ] that the other letter had n't come from Transportation Secretary Samuel Skinner indicated there is `` wiggle room '' in the administration 's position .,fact,sg,NN,[u'information.n.02'],,NP,[],[],False,[],['that'],[],"['also', u'say']",ZERO,THE
1271,data/parsed/22/wsj_2207.mrg|10|11,But they cited [ the UAL and AMR examples ] as reasons to move quickly to enact this legislation .,example,pl,NN,[u'information.n.02'],,VP,[],"['NNP', 'CC', 'NNP']",False,[],"['as', u'reason']","['UAL', 'and', 'AMR']","['they', u'cite']",ZERO,THE
1281,data/parsed/22/wsj_2207.mrg|11|77,Aides both in the House and Senate said the withdrawal of the Trump bid for AMR is n't likely to deflate efforts to push [ the legislation . ],legislation,sg,NN,[u'civil_law.n.01'],,VP,['.'],[],True,['.'],[],[],"['to', 'push']",ZERO,THE
1283,data/parsed/22/wsj_2207.mrg|12|19,"`` It 's still on [ the fast track ] and we still want to do it , '' said one Senate aide .",track,sg,NN,[u'line.n.11'],,PP,[],['JJ'],False,[],"['and', 'we']",['fast'],"['still', 'on']",ZERO,THE
1291,data/parsed/22/wsj_2207.mrg|13|62,The bill is aimed at addressing the concern that an airline might sacrifice costly safety measures to pay off [ the debt ] incurred in a leveraged buy-out .,debt,sg,NN,[u'indebtedness.n.01'],,NP,[],[],False,[],"[u'incur', 'in']",[],"['pay', 'off']",ZERO,THE
1301,data/parsed/22/wsj_2207.mrg|15|10,"Supporters of [ the legislation ] view the bill as an effort to add stability and certainty to the airline-acquisition process , and to preserve the safety and fitness of the industry .",legislation,sg,NN,[u'civil_law.n.01'],,PP,[],[],True,[],['view'],[],"['Supporters', 'of']",ZERO,THE
1317,data/parsed/22/wsj_2207.mrg|17|30,It also would require the acquiring party to notify [ the transportation secretary ] and to provide all information relevant to determining the intent of the acquisition .,secretary,sg,NN,[u'head.n.04'],,VP,[],['NN'],True,[],"['and', 'to']",['transportation'],"['to', 'notify']",ZERO,THE
1357,data/parsed/22/wsj_2207.mrg|22|24,One of the major concerns expressed by [ the dissenters ] was that large airlines would be prohibited from divesting themselves of smaller entities and producing independent spin-off companies .,dissenter,pl,NN,[u'person.n.01'],,PP,[],[],False,[],"[u'be', 'that']",[],"[u'express', 'by']",ZERO,THE
1421,data/parsed/22/wsj_2208.mrg|9|36,Work at Boeing continues with supervisors and other non-striking personnel manning [ the lines . ],line,pl,NN,[u'formation.n.01'],,VP,['.'],[],False,['.'],[],[],"['personnel', u'man']",ZERO,THE
1445,data/parsed/22/wsj_2209.mrg|2|21,"DPC , a group led by [ the New York investment firm Crescott Inc. , ] also said it plans to file preliminary materials with the Securities and Exchange Commission regarding a shareholder solicitation to oust Dataproducts ' board .",Inc.,sg,NNP,,,PP,"[',']","['NNP', 'NNP', 'NN', 'NN', 'NNP']",False,"[',']","['also', u'say']","['New', 'York', 'investment', 'firm', 'Crescott']","[u'lead', 'by']",ZERO,THE
1523,data/parsed/22/wsj_2210.mrg|3|56,"The Frankfurt Stock Exchange , which closed before the New York exchanges opened , was the hardest hit of [ the major European markets , ] with the DAX Index dropping 12.8 % .",market,pl,NN,[u'activity.n.01'],,PP,"[',']","['JJ', 'JJ']",False,"[',']",['with'],"['major', 'European']","['hit', 'of']",ZERO,THE
1594,data/parsed/22/wsj_2210.mrg|19|53,"`` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for [ the Bank ] in Liechtenstein 's Frankfurt branch .",Bank,sg,NNP,[u'slope.n.01'],,NP,[],[],False,[],"['in', 'Liechtenstein']",[],"['adviser', 'for']",ZERO,THE
1610,data/parsed/22/wsj_2210.mrg|21|77,"After the opening was delayed 30 minutes because of the crush of sell orders , Frankfurt 's normal two-hour trading session was extended 75 minutes to handle [ the heavy volume . ]",volume,sg,NN,[u'measure.n.02'],,VP,['.'],['JJ'],False,['.'],[],['heavy'],"['to', 'handle']",ZERO,THE
