,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
1157,data/parsed/22/wsj_2205.mrg|55|9,"Then , [ nine minutes ] later , Wall Street suddenly rebounded to a gain on the day .",minute,pl,NN,[u'written_record.n.01'],,ADVP,[],['CD'],True,[],"['later', ',']",['nine'],"['Then', ',']",THE,ZERO
1210,data/parsed/22/wsj_2207.mrg|2|27,"The collapsed plan to acquire UAL Corp. , [ parent ] of United Airlines , spurred quick action on the legislation , introduced Wednesday and approved by the subcommittee on a voice vote yesterday .",parent,sg,NN,[u'genitor.n.01'],,NP,[],[],False,[],"['of', 'United']",[],"['Corp.', ',']",THE,ZERO
1276,data/parsed/22/wsj_2207.mrg|11|20,Aides both in the House and [ Senate ] said the withdrawal of the Trump bid for AMR is n't likely to deflate efforts to push the legislation .,Senate,sg,NNP,[u'legislature.n.01'],,NP,[],[],False,[],[u'say'],[],"['House', 'and']",THE,ZERO
1328,data/parsed/22/wsj_2207.mrg|18|107,"The bill would allow the secretary to reject a buy-out if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in [ size ] of the airline through disposal of assets , or give control to a foreign interest .",size,sg,NN,[u'magnitude.n.01'],,NP,[],[],False,[],['of'],[],"['reduction', 'in']",THE,ZERO
1330,data/parsed/22/wsj_2207.mrg|18|122,"The bill would allow the secretary to reject a buy-out if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in size of the airline through [ disposal ] of assets , or give control to a foreign interest .",disposal,sg,NN,[u'power.n.01'],,NP,[],[],False,[],"['of', u'asset']",[],"['airline', 'through']",THE,ZERO
1351,data/parsed/22/wsj_2207.mrg|21|48,"But several committee members disapproved , some backing Mr. Trump 's claim that the threat of [ regulation ] caused the failure of the UAL deal and the stock-market plunge .",regulation,sg,NN,[u'rule.n.03'],,PP,[],[],False,[],[u'cause'],[],"['threat', 'of']",THE,ZERO
1364,data/parsed/22/wsj_2208.mrg|1|27,"In a possible prelude to the resumption of [ talks ] between Boeing Co. and striking Machinists union members , a federal mediator said representatives of the two sides will meet with him tomorrow .",talk,pl,NN,[u'discussion.n.02'],,NP,[],[],False,[],"['between', 'Boeing']",[],"['resumption', 'of']",THE,ZERO
1383,data/parsed/22/wsj_2208.mrg|3|20,"`` We 're encouraged that [ talks ] are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .",talk,pl,NN,[u'discussion.n.02'],,S,[],[],True,[],"[u'be', u'schedule']",[],"[u'encourage', 'that']",THE,ZERO
1403,data/parsed/22/wsj_2208.mrg|6|33,"Now in its 13th day , the strike has idled about [ 55,000 machinists ] and has started to delay delivery of some jetliners .",machinist,pl,NN,[u'craftsman.n.03'],,PP,[],['CD'],True,[],"['and', u'have']","['55,000']","[u'idle', 'about']",THE,ZERO
1625,data/parsed/22/wsj_2210.mrg|24|50,"Institutional investors and bankers , many of whom spent the night before in their offices watching [ Far Eastern markets , ] were cautiously optimistic after the mild 1.8 % decline in Tokyo stock prices .",market,pl,NN,[u'activity.n.01'],,VP,"[',']","['JJ', 'JJ']",True,"[',']","[u'be', 'cautiously']","['Far', 'Eastern']","[u'office', u'watch']",THE,ZERO
1667,data/parsed/22/wsj_2210.mrg|30|73,"A 16.3 % drop for Mannesmann AG and Dresdner Bank AG 's 9.6 % decline were especially problematic for their respective boards , whose plans for [ major rights issues ] in November could now be in jeopardy .",issue,pl,NN,[u'content.n.05'],,PP,[],"['JJ', 'NNS']",False,[],"['in', 'November']","['major', u'right']","[u'plan', 'for']",THE,ZERO
1886,data/parsed/22/wsj_2211.mrg|21|47,"The strong performance , however , contrasted with an unexpectedly large increase in the size of [ NCNB 's ] problem loans , particularly in the Southeast .",NCNB,sg,NNP,,,NPB,['POS'],[],True,"[""'s""]","['problem', u'loan']",[],"['size', 'of']",THE,ZERO
1959,data/parsed/22/wsj_2211.mrg|32|58,"Last week , the banking company said it purchased both Freedom Savings & Loan Association , Tampa , Fla. , and [ University Federal Savings Association ] of San Antonio , Texas , for $ 169.4 million .",Association,sg,NNP,[u'organization.n.01'],,NP,[],"['NNP', 'NNP', 'NNP']",False,[],"['of', 'San']","['University', 'Federal', 'Savings']","[',', 'and']",THE,ZERO
2037,data/parsed/22/wsj_2211.mrg|45|4,"[ Security Pacific 's ] loan-loss provision was down 22 % , or $ 30.4 million , because it added to its foreign-debt reserve the year before .",Pacific,sg,NNP,[],,NPB,['POS'],['NNP'],True,"[""'s""]","['loan-loss', 'provision']",['Security'],[],THE,ZERO
2082,data/parsed/22/wsj_2212.mrg|3|60,McCaw 's revised tender offer would require McCaw to begin an auction process in July 1994 that would buy out [ remaining holders ] at a per-share price roughly equivalent to what a third party might then have to pay for all of LIN .,holder,pl,NN,[u'holding_device.n.01'],,VP,[],['VBG'],False,[],['at'],[u'remain'],"['buy', 'out']",THE,ZERO
2138,data/parsed/22/wsj_2213.mrg|2|100,"In a letter filed with the Securities and Exchange Commission , the group , which holds about 4.5 million Telerate shares , or about 4.7 % of the shares outstanding , said `` ... at [ present ] none of us believes an offer for less than $ 25 per share would be fair and some believe that $ 25 is too low . ''",present,sg,NN,[u'time.n.05'],,PP,[],[],False,[],"['none', 'of']",[],"['...', 'at']",THE,ZERO
2215,data/parsed/22/wsj_2214.mrg|3|72,"If a solution is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to [ Canada equivalent ] in value to the losses suffered by U.S. fish-processing companies in Alaska and the Pacific Northwest .",equivalent,sg,NN,[u'cognition.n.01'],,NP,[],['NNP'],False,[],"['in', 'value']",['Canada'],"[u'concession', 'to']",THE,ZERO
2216,data/parsed/22/wsj_2214.mrg|3|81,"If a solution is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to Canada equivalent in [ value ] to the losses suffered by U.S. fish-processing companies in Alaska and the Pacific Northwest .",value,sg,NN,[u'numerical_quantity.n.01'],,NP,[],[],False,[],['to'],[],"['equivalent', 'in']",THE,ZERO
2285,data/parsed/22/wsj_2215.mrg|2|17,"To spend a carefree , [ idle day , ] When duty calls , to pay no heed , To while the precious hours away -- Character is what you need .",day,sg,NN,[u'time_unit.n.01'],,S,"[',']",['JJ'],False,"[',']","['When', 'duty']",['idle'],"['carefree', ',']",THE,ZERO
2309,data/parsed/22/wsj_2216.mrg|2|45,The plan would permit the bank holding company to retire its bank and debenture obligations through [ exchanges ] of cash and equity .,exchange,pl,NN,[u'chemical_phenomenon.n.01'],,NP,[],[],False,[],"['of', 'cash']",[],"[u'obligation', 'through']",THE,ZERO
2318,data/parsed/22/wsj_2216.mrg|3|62,"The FDIC , which in 1986 provided $ 130 million in open-bank assistance to BancOklahoma 's Bank of Oklahoma , [ Tulsa , unit ] will continue to maintain $ 90 million in preferred stock in the Tulsa bank unit .",unit,sg,NN,[u'definite_quantity.n.01'],,S,[],"['NNP', ',']",False,[],"['will', 'continue']","['Tulsa', ',']","['Oklahoma', ',']",THE,ZERO
2322,data/parsed/22/wsj_2216.mrg|4|7,"In [ exchange ] for the other $ 40 million , the FDIC will receive additional warrants entitling it to buy 60 % of BancOklahoma 's common stock outstanding , up from the 55 % option the FDIC received under terms of the 1986 capital infusion .",exchange,sg,NN,[u'chemical_phenomenon.n.01'],,NP,[],[],True,[],['for'],[],['In'],THE,ZERO
2334,data/parsed/22/wsj_2216.mrg|5|8,"In [ exchange ] for the $ 76 million they are owed , creditor banks will receive 3.9 million shares of BancOklahoma common stock and the proceeds from the future sales of four subsidiary banks to private buyers , the bank holding company said S .",exchange,sg,NN,[u'chemical_phenomenon.n.01'],,NP,[],[],True,[],['for'],[],['In'],THE,ZERO
2350,data/parsed/22/wsj_2216.mrg|6|50,"Also under the agreement , debenture holders will get one million shares of common stock in [ exchange ] for $ 7.7 million in debentures and holders of BancOklahoma 's series A preferred stock will receive 1.25 shares of common stock for every share of preferred they own , the company said S .",exchange,sg,NN,[u'chemical_phenomenon.n.01'],,NP,[],[],True,[],"['for', '$']",[],"['stock', 'in']",THE,ZERO
2386,data/parsed/22/wsj_2218.mrg|1|85,BSN Corp. said it will begin an offer tomorrow to exchange up to one million of its common shares and all of its $ 16.6 million in [ 7 3\\/4 % convertible debentures ] due 2001 for a package of new debt and common stock warrants .,debenture,pl,NN,[u'bond.n.02'],,NP,[],"['CD', 'CD', 'NN', 'JJ']",False,[],"['due', '<number>']","['<number>', '3\\\\/4', '%', 'convertible']","['million', 'in']",THE,ZERO
2482,data/parsed/22/wsj_2219.mrg|5|3,[ Investment banking revenue ] fell 22 % to $ 296.6 million on fewer equity and municipal underwritings .,revenue,sg,NN,[u'sum.n.01'],,S,[],"['NN', 'NN']",True,[],"['fell', '<number>']","['Investment', 'banking']",[],THE,ZERO
2597,data/parsed/22/wsj_2221.mrg|2|65,"Individual investors , investment firms and arbitragers who speculate in the stocks of takeover candidates can suffer liquidity and payment problems when [ stocks dive ; ] those investors often borrow heavily to buy their holdings and use the stocks as collateral for loans .",dive,sg,NN,[u'cabaret.n.01'],,S,[':'],['NNS'],False,[';'],"['those', u'investor']",[u'stock'],"[u'problem', 'when']",THE,ZERO
2628,data/parsed/22/wsj_2221.mrg|7|19,"Now , as for tomorrow , [ hell , ] who knows ?",hell,sg,NN,[u'region.n.01'],,NP,"[',']",[],False,"[',']","['who', u'know']",[],"['tomorrow', ',']",THE,ZERO
2630,data/parsed/22/wsj_2222.mrg|1|21,What happened Friday shows that [ financial markets ] are not yet sufficiently coordinated to handle another meltdown in prices .,market,pl,NN,[u'activity.n.01'],,S,[],['JJ'],False,[],"[u'be', 'not']",['financial'],"[u'show', 'that']",THE,ZERO
2635,data/parsed/22/wsj_2222.mrg|2|28,No fiddling with systems and procedures will ever prevent [ markets ] from suffering a panic wave of selling .,market,pl,NN,[u'activity.n.01'],,VP,[],[],True,[],"['from', u'suffer']",[],"['ever', 'prevent']",THE,ZERO
2638,data/parsed/22/wsj_2222.mrg|3|5,But [ markets ] can operate with greater or lesser efficiency .,market,pl,NN,[u'activity.n.01'],,S,[],[],True,[],"['can', 'operate']",[],['But'],THE,ZERO
2641,data/parsed/22/wsj_2222.mrg|4|15,"After the 1987 plunge , [ markets ] agreed that it would be wise to halt trading whenever panic conditions arose .",market,pl,NN,[u'activity.n.01'],,S,[],[],True,[],"[u'agree', 'that']",[],"['plunge', ',']",THE,ZERO
2674,data/parsed/22/wsj_2222.mrg|9|31,But there is also the possibility that shutting down [ markets ] will intensify fears and cause an even more abrupt slide in prices .,market,pl,NN,[u'activity.n.01'],,VP,[],[],True,[],"['will', 'intensify']",[],"[u'shut', 'down']",THE,ZERO
2690,data/parsed/22/wsj_2222.mrg|12|3,[ Options markets ] stopped trading in many securities .,market,pl,NN,[u'activity.n.01'],,S,[],['NNS'],True,[],"[u'stop', u'trade']",['Options'],[],THE,ZERO
2748,data/parsed/22/wsj_2222.mrg|25|54,It 's time for the exchanges and the Securities and Exchange Commission to agree on joint conditions for [ halting trading or staying open . ],open,sg,NN,[u'area.n.01'],,PP,['.'],"['NN', 'NN', 'CC', 'NN']",True,['.'],[],"['halting', 'trading', 'or', 'staying']","[u'condition', 'for']",THE,ZERO
2760,data/parsed/22/wsj_2222.mrg|27|40,The need for hurried last-minute telephone negotiations among market officials will disappear once [ rules ] are in place that synchronize circuit breakers in all markets .,rule,pl,NN,[u'concept.n.01'],,S,[],[],False,[],"[u'be', 'in']",[],"['disappear', 'once']",THE,ZERO
2780,data/parsed/22/wsj_2222.mrg|30|101,"Should the SEC and the Commodities Futures Trading Commission -LRB- which , with the SEC , regulates the Chicago stock-index markets -RRB- be unable to agree , the issue may have to be resolved by [ decision ] of the Treasury secretary .",decision,sg,NN,[u'choice.n.02'],,NP,[],[],False,[],['of'],[],"[u'resolve', 'by']",THE,ZERO
2793,data/parsed/22/wsj_2222.mrg|33|4,"[ Telephone service ] has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .",service,sg,NN,[u'work.n.01'],,S,[],['NNP'],False,[],"[u'have', u'be']",['Telephone'],[],THE,ZERO
2803,data/parsed/22/wsj_2222.mrg|34|15,"-LRB- Of course , [ specialists ' ] actions alone can never prevent a major crack in stock prices .",specialist,pl,NN,[u'expert.n.01'],,NPB,['POS'],[],True,"[""'""]","[u'action', 'alone']",[],"['course', ',']",THE,ZERO
2847,data/parsed/22/wsj_2223.mrg|4|21,"FMC Corp. and Baxter International say [ unions ] also wo n't like plant relocations and needed restructuring , which means layoffs .",union,pl,NN,[u'organization.n.01'],,S,[],[],True,[],"['also', 'wo']",[],"['International', 'say']",THE,ZERO
2854,data/parsed/22/wsj_2223.mrg|5|65,"Many employers have already begun moving to southern countries such as Spain and Italy , where wages are low and [ unions ] are weaker ; demand for trained labor and managers will rise there , FMC says S .",union,pl,NN,[u'organization.n.01'],,S,[],[],True,[],"[u'be', u'weak']",[],"['low', 'and']",THE,ZERO
2916,data/parsed/22/wsj_2223.mrg|16|12,An Association of [ Academic Health Centers report ] urges freeing nurses from duties that do n't require special skills .,report,sg,NN,[u'document.n.01'],,PP,[],"['NNP', 'NNP', 'NNPS']",False,[],"[u'urge', u'free']","['Academic', 'Health', 'Centers']","['Association', 'of']",THE,ZERO
2940,data/parsed/22/wsj_2223.mrg|19|55,"Over a third of 618 hospitals surveyed by consultant Hewitt Associates use a `` clinical ladder , '' basing [ advancement ] on performance and education .",advancement,sg,NN,[u'encouragement.n.01'],,VP,[],[],False,[],"['on', 'performance']",[],"[""''"", u'base']",THE,ZERO
2944,data/parsed/22/wsj_2223.mrg|20|22,"Many also use recruiting bonuses , [ tuition reimbursement , ] loan repayment or child-care help .",reimbursement,sg,NN,[u'compensation.n.01'],,NP,"[',']",['NN'],False,"[',']","['loan', 'repayment']",['tuition'],"[u'bonus', ',']",THE,ZERO
2947,data/parsed/22/wsj_2223.mrg|21|9,Some give [ lump-sum incentives . ],incentive,pl,NN,[u'rational_motive.n.01'],,VP,['.'],['JJ'],False,['.'],[],['lump-sum'],"['Some', 'give']",THE,ZERO
2957,data/parsed/22/wsj_2223.mrg|23|47,"TREATING EMPLOYEES with respect is crucial for managers , says S consultant Hay Group after [ surveys ] of a million workers .",survey,pl,NN,[u'examination.n.01'],,NP,[],[],True,[],['of'],[],"['Group', 'after']",THE,ZERO
2976,data/parsed/22/wsj_2223.mrg|26|78,"SPRUCING UP THE DIGS : About 200 employees of the Maryland Department of Economic and Employment Development for four months painted walls , polished and carpeted [ floors , ] bought plants , cleaned windows and blinds , and hung pictures at the agency 's Baltimore office .",floor,pl,NN,[u'horizontal_surface.n.01'],,VP,"[',']",[],False,"[',']","[u'buy', u'plant']",[],"['and', u'carpet']",THE,ZERO
2990,data/parsed/22/wsj_2223.mrg|28|50,"CURBING WAGE BOOSTS will get high priority again in 1990 collective bargaining , a Bureau of [ National Affairs survey ] of 250 companies with pacts expiring next year indicates S .",survey,sg,NN,[u'examination.n.01'],,NP,[],"['NNP', 'NNP']",True,[],"['of', '<number>']","['National', 'Affairs']","['Bureau', 'of']",THE,ZERO
2992,data/parsed/22/wsj_2223.mrg|28|70,"CURBING WAGE BOOSTS will get high priority again in 1990 collective bargaining , a Bureau of National Affairs survey of 250 companies with [ pacts ] expiring next year indicates S .",pact,pl,NN,[u'written_agreement.n.01'],,S,[],[],False,[],"[u'expire', 'next']",[],"[u'company', 'with']",THE,ZERO
3018,data/parsed/22/wsj_2223.mrg|32|3,"[ HOME-SALE LOSSES rise , ] but they 're often covered by employers .",rise,sg,NN,[u'emergence.n.01'],,NP,"[',']","['NNP', 'NNP']",False,"[',']","['but', 'they']","['HOME-SALE', 'LOSSES']",[],THE,ZERO
3022,data/parsed/22/wsj_2223.mrg|33|9,But they [ search ] for ways to limit the damage .,search,sg,NN,[u'activity.n.01'],,NP,[],[],False,[],"['for', u'way']",[],"['But', 'they']",THE,ZERO
3026,data/parsed/22/wsj_2223.mrg|34|13,A third of [ 439 companies ] surveyed by the Employee Relocation Council report a rise in 1988 sales losses over 1987 .,company,pl,NN,[u'institution.n.01'],,NP,[],['CD'],False,[],"[u'survey', 'by']",['<number>'],"['third', 'of']",THE,ZERO
3070,data/parsed/22/wsj_2223.mrg|41|29,"THE CHECKOFF : The National Academy of Engineering gives [ two inventors ] of the semiconductor microchip a $ 350,000 achievement award ... .",inventor,pl,NN,[u'creator.n.02'],,NP,[],['CD'],False,[],['of'],['two'],"['Engineering', u'give']",THE,ZERO
3156,data/parsed/22/wsj_2225.mrg|4|4,"[ Chicken business ] is off largely because of more competition from grocery-store convenience food , home-delivered pizza and other takeout fare , says S a spokesman for the report , a publication of NPD Group , a market research firm in Port Washington , N.Y .",business,sg,NN,[u'enterprise.n.02'],,S,[],['NNP'],True,[],"[u'be', 'off']",['Chicken'],[],THE,ZERO
3175,data/parsed/22/wsj_2225.mrg|6|5,"[ Church 's ] Fried Chicken Inc. and Popeye 's Famous Fried Chicken Inc. , which have merged , are still troubled by overlapping restaurant locations .",Church,sg,NNP,[u'religion.n.02'],,NPB,['POS'],[],False,"[""'s""]","['Fried', 'Chicken']",[],[],THE,ZERO
3179,data/parsed/22/wsj_2225.mrg|7|3,"[ Chicken chains ] also are feeling more pressure from McDonald 's Corp. , which introduced its McChicken sandwich this year and recently tested the sale of individual pieces of chicken .",chain,pl,NN,[u'shackle.n.01'],,S,[],['NNP'],True,[],"['also', u'be']",['Chicken'],[],THE,ZERO
3199,data/parsed/22/wsj_2225.mrg|10|20,"Kentucky Fried Chicken also is testing [ home-delivery ] of chicken , which could be a hit with stay-at-home diners .",home-delivery,sg,NN,,,NP,[],[],False,[],"['of', 'chicken']",[],"[u'be', u'test']",THE,ZERO
3200,data/parsed/22/wsj_2225.mrg|10|27,"Kentucky Fried Chicken also is testing home-delivery of [ chicken , ] which could be a hit with stay-at-home diners .",chicken,sg,NN,[u'poultry.n.02'],,NP,"[',']",[],True,"[',']","['which', 'could']",[],"['home-delivery', 'of']",THE,ZERO
3325,data/parsed/22/wsj_2225.mrg|38|37,"A company spokesman questioned the validity of the list , noting that [ chlorine ] is present in all major dishwasher detergents .",chlorine,sg,NN,"[u'chemical_element.n.01', u'gas.n.02', u'halogen.n.01']",,S,[],[],False,[],"[u'be', 'present']",[],"[u'note', 'that']",THE,ZERO
3348,data/parsed/22/wsj_2225.mrg|44|3,"[ Big Bear ] does n't care for disposable diapers , which are n't biodegradable .",Bear,sg,NNP,[u'carnivore.n.01'],,S,[],['NNP'],True,[],"[u'do', ""n't""]",['Big'],[],THE,ZERO
3569,data/parsed/22/wsj_2227.mrg|25|33,"The association , a majority of whose 156,000 members build [ fewer than 25 units ] a year , is like many other business lobbies .",unit,pl,NN,[u'definite_quantity.n.01'],,NP,[],"['JJR', 'IN', 'CD']",False,[],['year'],"[u'few', 'than', '<number>']","[u'member', 'build']",THE,ZERO
3576,data/parsed/22/wsj_2227.mrg|26|39,Explains Sheila MacDonald of the National Taxpayers Union : `` It treads in [ two worlds . ],world,pl,NN,[u'natural_object.n.01'],,PP,['.'],['CD'],False,['.'],[],['two'],"[u'tread', 'in']",THE,ZERO
3599,data/parsed/22/wsj_2227.mrg|30|28,As Mr. Colton of the NAHB acknowledges : `` [ Government ] is not going to solve the problem ... .,Government,sg,NN,[u'polity.n.02'],,S,[],[],False,[],"[u'be', 'not']",[],"[':', '``']",THE,ZERO
