|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
129|THE|"data/parsed/22/wsj_2201.mrg|2|35"|Hard on the heels of Friday 's 190-point stock-market plunge and [ the uncertainty ] that 's followed , a few big brokerage firms are rolling out new ads trumpeting a familiar message : Keep on investing , the market 's just fine .|uncertainty|sg|NN|[u'quality.n.01']||NP|[]|[]|False|[]|"['that', ""'s""]"|[]|['plunge', 'and']|NN|False|True|False|2|False|SBAR|that|followed|False|0.268292682927|ZERO|THE
174|THE|"data/parsed/22/wsj_2201.mrg|11|3"|[ The brokerage firms ] learned a lesson the last time around , when frightened investors flooded the phone lines and fled the market in a panic .|firm|pl|NN|[u'business.n.01']||S|[]|['NN']|True|[]|[u'learn']|['brokerage']|[]|NN|False|False|False|0|False|||learned|True|0.0|ZERO|THE
176|THE|"data/parsed/22/wsj_2201.mrg|11|19"|The brokerage firms learned a lesson [ the last time ] around , when frightened investors flooded the phone lines and fled the market in a panic .|time|sg|NN|[u'case.n.01']||ADVP|[]|['JJ']|False|[]|['around', ',']|['last']|['lesson']|NN|False|False|False|0|False|||learned|False|0.25|ZERO|THE
178|THE|"data/parsed/22/wsj_2201.mrg|11|44"|The brokerage firms learned a lesson the last time around , when frightened investors flooded [ the phone lines ] and fled the market in a panic .|line|pl|NN|[u'formation.n.01']||VP|[]|['NN']|False|[]|['and', u'flee']|['phone']|[u'investor', u'flood']|NN|False|False|False|0|False|||flooded|False|0.625|ZERO|THE
182|THE|"data/parsed/22/wsj_2201.mrg|12|10"|This time , [ the firms ] were ready .|firm|pl|NN|[u'business.n.01']||S|[]|[]|True|[]|[u'be', 'ready']|[]|['time', ',']|NN|False|False|False|0|False|||were|True|0.428571428571|ZERO|THE
196|THE|"data/parsed/22/wsj_2201.mrg|15|3"|[ The ads ] touted Fidelity 's automated 800-number beneath the huge headline , `` Fidelity Is Ready For Your Call . ''|ad|pl|NN|[u'promotion.n.01']||S|[]|[]|True|[]|[u'tout', 'Fidelity']|[]|[]|NN|False|False|False|0|False|||touted|True|0.0|ZERO|THE
226|THE|"data/parsed/22/wsj_2201.mrg|22|7"|Underneath [ the headline `` Diversification , '' ] it counsels , `` Based on the events of the past week , all investors need to know their portfolios are balanced to help protect them against the market 's volatility . ''|Diversification|sg|NN|[u'change.n.03']||FRAG|"[',', ""''""]"|['NN', '``']|False|"[',', ""''""]"|['it', u'counsel']|['headline', '``']|['Underneath']|NN|False|False|False|0|False|||counsels|False|0.0285714285714|ZERO|THE
255|THE|"data/parsed/22/wsj_2201.mrg|27|4"|[ The new PaineWebber commercial , ] created with ad agency Saatchi & Saatchi Co. , features Mary Farrell , one of the firm 's most visible investment strategists , sounding particularly bullish .|PaineWebber|sg|NNP|||NP|['JJ', ',']|['JJ']|True|['commercial', ',']|[u'create', 'with']|['new']|[]|NN|True|True|False|9|False|VP|created|features||0.0|ZERO|THE
270|THE|"data/parsed/22/wsj_2201.mrg|29|34"|We continue to feel that the stock market is still [ the place ] to be for long-term appreciation . ''|place|sg|NN|[u'point.n.02']||NP|[]|[]|False|[]|['to', 'be']|[]|[u'be', 'still']|NN|False|True|False|7|False|SBAR|to|is|False|0.555555555556|ZERO|THE
280|THE|"data/parsed/22/wsj_2201.mrg|32|25"|Instead , it settled on just urging [ the clients ] who are its lifeline to keep that money in the market .|client|pl|NN|[u'case.n.06']||NP|[]|[]|False|[]|['who', u'be']|[]|['just', u'urge']|NN|False|True|False|4|False|SBAR|who|urging|False|0.35|ZERO|THE
289|THE|"data/parsed/22/wsj_2201.mrg|33|84"|`` We 're saying the worst thing that anyone can do is to see the market go down and dump everything , which just drives [ the prices ] down further , '' says John Lampe , PaineWebber 's director of advertising .|price|pl|NN|[u'value.n.02']||VP|[]|[]|False|[]|['down', u'far']|[]|['just', u'drive']|NN|False|False|False|0|False|||drives|False|0.625|ZERO|THE
302|THE|"data/parsed/22/wsj_2201.mrg|36|8"|With [ the market fluctuating ] and then closing up more than 88 points yesterday , investment firms had to constantly revise their approach .|fluctuating|sg|NN|||NP|[]|['NN']|False|[]|['and', 'then']|['market']|['With']|NN|False|True|False|1|False|CC|and|closing|False|0.047619047619|ZERO|THE
345|THE|"data/parsed/22/wsj_2201.mrg|43|13"|In any case , [ the brokerage firms ] are clearly moving faster to create new ads than they did in the fall of 1987 .|firm|pl|NN|[u'business.n.01']||S|[]|['NN']|False|[]|[u'be', 'clearly']|['brokerage']|['case', ',']|NN|False|False|False|0|False|||are|False|0.181818181818|ZERO|THE
360|THE|"data/parsed/22/wsj_2201.mrg|46|6"|Now [ the firms ] must try their hardest to prove that advertising can work this time around .|firm|pl|NN|[u'business.n.01']||S|[]|[]|True|[]|['must', 'try']|[]|['Now']|NN|False|False|False|0|False|||must|True|0.0625|ZERO|THE
408|THE|"data/parsed/22/wsj_2201.mrg|57|23"|The supplement , the largest ever for [ the magazine , ] includes ads from 52 corporate advertisers and kicks off a two-year Business Week initiative on education .|magazine|sg|NN|[u'press.n.02', u'publication.n.01']||PP|[',']|[]|False|[',']|[u'include', u'ad']|[]|['ever', 'for']|NN|False|False|False|0|False|||includes|False|0.28|ZERO|THE
415|THE|"data/parsed/22/wsj_2201.mrg|58|24"|The magazine will distribute 10 % of [ the gross revenues ] from the supplement as grants to innovative teachers .|revenue|pl|NN|[u'sum.n.01']||NP|[]|['JJ']|False|[]|['from']|['gross']|['%', 'of']|NN|False|True|False|3|False|PP|from|will|False|0.411764705882|ZERO|THE
440|THE|"data/parsed/22/wsj_2202.mrg|3|42"|Baseball , that game of the long haul , is the quintessential sport of [ the mean , ] and the mean ol' law caught up with the San Francisco Giants in the World Series last weekend .|mean|sg|NN|[u'average.n.01']||PP|[',']|[]|False|[',']|['and']|[]|['sport', 'of']|NN|False|False|False|0|False|||is|False|0.411764705882|ZERO|THE
447|THE|"data/parsed/22/wsj_2202.mrg|4|15"|Morever , much of [ the damage ] was accomplished by A 's who had some catching up to do .|damage|sg|NN|[u'change.n.01']||PP|[]|[]|False|[]|[u'be', u'accomplish']|[]|['much', 'of']|NN|False|False|False|0|False|||was|False|0.222222222222|ZERO|THE
455|THE|"data/parsed/22/wsj_2202.mrg|5|55"|In game two , on a cool Sunday evening in this land of perpetual autumn , a lot of [ the ] catching up was done by the A 's catcher , Terry Steinbach .|the||DT|||S|[]|[]|True|[]|[u'catch', 'up']|[]|['lot', 'of']|DT|False|False|False|0|False|||catching||0.575757575758|ZERO|THE
457|THE|"data/parsed/22/wsj_2202.mrg|5|75"|In game two , on a cool Sunday evening in this land of perpetual autumn , a lot of the catching up was done by [ the A 's ] catcher , Terry Steinbach .|A|sg|NNP|[u'metric_linear_unit.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['catcher', ',']|[]|[u'do', 'by']|NN|True|False|False|0|False|||was||0.806451612903|ZERO|THE
474|THE|"data/parsed/22/wsj_2202.mrg|7|64"|So what if Steinbach had struck just seven home runs in 130 regular-season games , and batted in the seventh position of [ the A 's ] lineup .|A|sg|NNP|[u'metric_linear_unit.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['lineup', '.']|[]|['position', 'of']|NN|True|False|False|0|False|||had||0.88|ZERO|THE
482|THE|"data/parsed/22/wsj_2202.mrg|9|25"|On Saturday night , quite a few of [ the boys ] in green and gold salted away successes to salve the pain of past and , no doubt , future droughts .|boy|pl|NN|[u'male.n.02']||NP|[]|[]|False|[]|['in', 'green']|[]|['few', 'of']|NN|False|True|False|4|False|PP|in|salted|False|0.266666666667|ZERO|THE
498|THE|"data/parsed/22/wsj_2202.mrg|11|4"|[ The A-men batting Nos. 6 through 9 , ] a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .|Nos.|sg|NNP|||NP|['CD', 'IN', 'CD', ',']|['JJ', 'NN']|False|['<number>', 'through', '<number>', ',']|['a.k.a.']|['A-men', 'batting']|[]|NN|True|True|False|9|False|PP|a.k.a.|got||0.0|ZERO|THE
500|THE|"data/parsed/22/wsj_2202.mrg|11|35"|The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of [ the order , '' ] got seven of their team 's 11 hits and scored four of its runs in a 5-0 decision .|order|sg|NN|[u'command.n.01']||PP|"[',', ""''""]"|[]|False|"[',', ""''""]"|[u'get', 'seven']|[]|['bottom', 'of']|NN|False|False|False|0|False|||got|False|0.393939393939|ZERO|THE
509|THE|"data/parsed/22/wsj_2202.mrg|12|36"|Right-hander Dave Stewart held the Giants to five hits to account for [ the zero ] on the other side of the Saturday ledger .|zero||CD|[u'relative_quantity.n.01']||PP|[]|[]|False|[]|['on']|[]|['account', 'for']|CD|False|False|False|0|False|||to||0.545454545455|ZERO|THE
511|THE|"data/parsed/22/wsj_2202.mrg|12|55"|Right-hander Dave Stewart held the Giants to five hits to account for the zero on the other side of [ the Saturday ledger . ]|ledger|sg|NN|[u'record.n.07']||PP|['.']|['NNP']|False|['.']|[]|['Saturday']|['side', 'of']|NN|False|False|False|0|False|||to|False|0.95|ZERO|THE
514|THE|"data/parsed/22/wsj_2202.mrg|13|15"|That he was [ the A 's ] winningest pitcher during its American League campaign with a 21-9 mark , plus two wins over Toronto in the playoffs , indicates he may have some evening up coming , but with the way his split-fingered fastball is behaving , that might not be this week .|A|sg|NNP|[u'metric_linear_unit.n.01']||NPB|['POS']|[]|False|"[""'s""]"|['winningest', 'pitcher']|[]|['he', u'be']|NN|True|False|False|0|False|||was||0.0588235294118|ZERO|THE
519|THE|"data/parsed/22/wsj_2202.mrg|13|69"|That he was the A 's winningest pitcher during its American League campaign with a 21-9 mark , plus two wins over Toronto in [ the playoffs , ] indicates he may have some evening up coming , but with the way his split-fingered fastball is behaving , that might not be this week .|playoff|pl|NN|[u'contest.n.01']||PP|[',']|[]|False|[',']|[u'indicate', 'he']|[]|['Toronto', 'in']|NN|False|False|False|0|False|||was|False|0.470588235294|ZERO|THE
530|THE|"data/parsed/22/wsj_2202.mrg|14|49"|The same goes for Mike Moore , another veteran who overcame early struggles to permit [ the Giants ] but a run and four hits in seven innings in Sunday 's contest .|Giants|pl|NNP|[u'animal.n.01']||VP|[]|[]|True|[]|['but']|[]|['to', 'permit']|NN|True|False|False|0|False|||to||0.5|ZERO|THE
545|THE|"data/parsed/22/wsj_2202.mrg|16|41"|He 's an ex-hurler who 's one of the leading gurus of [ the fashionable delivery , ] which looks like a fastball until it dives beneath the lunging bat .|delivery|sg|NN|[u'transportation.n.02']||PP|[',']|['JJ']|False|[',']|['which', u'look']|['fashionable']|[u'guru', 'of']|NN|False|False|False|0|False|||'s|False|0.461538461538|ZERO|THE
550|THE|"data/parsed/22/wsj_2202.mrg|17|12"|The upshot of [ the downshoot ] is that the A 's go into San Francisco 's Candlestick Park tonight up two games to none in the best-of-seven fest .|downshoot|sg|NN|||PP|[]|[]|False|[]|[u'be', 'that']|[]|['upshot', 'of']|NN|False|False|False|0|False|||is|False|0.111111111111|ZERO|THE
551|THE|"data/parsed/22/wsj_2202.mrg|17|24"|The upshot of the downshoot is that [ the A 's ] go into San Francisco 's Candlestick Park tonight up two games to none in the best-of-seven fest .|A|sg|NNP|[u'metric_linear_unit.n.01']||S|['POS']|[]|True|"[""'s""]"|['go', 'into']|[]|[u'be', 'that']|NN|True|False|False|0|False|||go||0.269230769231|ZERO|THE
570|THE|"data/parsed/22/wsj_2202.mrg|20|18"|One might think that [ the home fans ] in this Series of the Subway Called BART -LRB- that 's a better name for a public conveyance than `` Desire , '' do n't you think ? -RRB- would have been ecstatic over the proceedings , but they observe them in relative calm .|fan|pl|NN|[u'device.n.01']||NP|[]|['NN']|False|[]|['in', 'this']|['home']|['think', 'that']|NN|False|True|False|29|False|PP|in|would|False|0.08|ZERO|THE
572|THE|"data/parsed/22/wsj_2202.mrg|20|38"|One might think that the home fans in this Series of [ the Subway Called BART ] -LRB- that 's a better name for a public conveyance than `` Desire , '' do n't you think ? -RRB- would have been ecstatic over the proceedings , but they observe them in relative calm .|BART|sg|NNP|[u'aristocrat.n.01']||NP|[]|['NNP', 'NNP']|False|[]|['-LRB-', 'that']|['Subway', 'Called']|['Series', 'of']|NN|True|True|False|21|False|PRN|-LRB-|would||0.224489795918|ZERO|THE
578|THE|"data/parsed/22/wsj_2202.mrg|20|118"|One might think that the home fans in this Series of the Subway Called BART -LRB- that 's a better name for a public conveyance than `` Desire , '' do n't you think ? -RRB- would have been ecstatic over [ the proceedings , ] but they observe them in relative calm .|proceeding|pl|NN|[u'due_process.n.01']||PP|[',']|[]|False|[',']|['but', 'they']|[]|['ecstatic', 'over']|NN|False|False|False|0|False|||would|False|0.82|ZERO|THE
583|THE|"data/parsed/22/wsj_2202.mrg|21|11"|Partisans of [ the two combatants ] sat side by side in the 49,000-plus seats of Oakland Coliseum , and while they cheered their favorites and booed the opposition , hostilities advanced no further , at least as far as I could see .|combatant|pl|NN|[u'person.n.01']||PP|[]|['CD']|False|[]|[u'sit', 'side']|['two']|['Partisans', 'of']|NN|False|False|False|0|False|||sat|False|0.05|ZERO|THE
585|THE|"data/parsed/22/wsj_2202.mrg|21|34"|Partisans of the two combatants sat side by side in [ the 49,000-plus seats ] of Oakland Coliseum , and while they cheered their favorites and booed the opposition , hostilities advanced no further , at least as far as I could see .|seat|pl|NN|[u'room.n.02']||NP|[]|['JJ']|False|[]|['of', 'Oakland']|['49,000-plus']|['side', 'in']|NN|False|True|False|4|True|PP|of|sat|False|0.25|ZERO|THE
589|THE|"data/parsed/22/wsj_2202.mrg|21|75"|Partisans of the two combatants sat side by side in the 49,000-plus seats of Oakland Coliseum , and while they cheered their favorites and booed [ the opposition , ] hostilities advanced no further , at least as far as I could see .|opposition|sg|NN|[u'action.n.01']||VP|[',']|[]|False|[',']|[u'hostility', u'advance']|[]|['and', u'boo']|NN|False|False|False|0|False|||cheered|False|0.625|ZERO|THE
594|THE|"data/parsed/22/wsj_2202.mrg|22|31"|A few folks even showed up wearing caps bearing [ the colors and emblems ] of both teams .|emblem|pl|NN|[u'design.n.04']||NP|[]|['NNS', 'CC']|False|[]|['of', 'both']|[u'color', 'and']|[u'cap', u'bear']|NN|False|True|False|4|True|PP|of|wearing|False|0.642857142857|ZERO|THE
597|THE|"data/parsed/22/wsj_2202.mrg|23|14"|`` I 'm for [ the Giants ] today , but only because they lost yesterday .|Giants|sg|NNP|[u'animal.n.01']||PP|[]|[]|False|[]|['today', ',']|[]|"[""'m"", 'for']"|NN|True|False|False|0|False|||'m||0.285714285714|ZERO|THE
612|THE|"data/parsed/22/wsj_2202.mrg|26|3"|[ The above ] represents a triumph of either apathy or civility .|above||JJ|[u'section.n.01']||S|[]|[]|False|[]|[u'represent']|[]|[]|JJ|False|False|False|0|False|||represents||0.0|ZERO|THE
621|THE|"data/parsed/22/wsj_2202.mrg|27|77"|I choose to believe it 's the latter , although it probably springs from the fact that just about everyone out here , including [ the A 's ] and Giants , is originally from somewhere else .|A|sg|NNP|[u'metric_linear_unit.n.01']||NP|['POS']|[]|True|"[""'s""]"|['and', 'Giants']|[]|[',', u'include']|NN|True|True|False|1|False|CC|and|is||0.705882352941|ZERO|THE
636|THE|"data/parsed/22/wsj_2202.mrg|29|8"|Anyway , [ the A 's ] gave you a lot of heroes to root for .|A|sg|NNP|[u'metric_linear_unit.n.01']||S|['POS']|[]|True|"[""'s""]"|[u'give', 'you']|[]|['Anyway', ',']|NN|True|False|False|0|False|||gave||0.153846153846|ZERO|THE
656|THE|"data/parsed/22/wsj_2202.mrg|31|52"|He was flawless afield -LRB- ditto in game two -RRB- , moved a runner along in [ the A 's ] three-run second inning , and homered for his team 's final tally .|A|sg|NNP|[u'metric_linear_unit.n.01']||NPB|['POS']|[]|True|"[""'s""]"|['three-run', 'second']|[]|['along', 'in']|NN|True|False|False|0|False|||was||0.533333333333|ZERO|THE
681|THE|"data/parsed/22/wsj_2202.mrg|35|16"|He smoked Toronto in [ the playoffs ] with six hits , seven walks and eight stolen bases in 22 at bats , and continued that by going 3-for-3 at the plate Sunday , along with walking , stealing a base and scoring a run .|playoff|pl|NN|[u'contest.n.01']||PP|[]|[]|False|[]|['with', 'six']|[]|['Toronto', 'in']|NN|False|False|False|0|False|||smoked|False|0.093023255814|ZERO|THE
693|THE|"data/parsed/22/wsj_2202.mrg|36|19"|`` When you 're in [ the groove , ] you see every ball tremendously , '' he lectured .|groove|sg|NN|[u'depression.n.08']||PP|[',']|[]|False|[',']|['you', 'see']|[]|"[""'re"", 'in']"|NN|False|False|False|0|False|||'re|False|0.3125|ZERO|THE
697|THE|"data/parsed/22/wsj_2202.mrg|37|4"|[ The cold guys ] in the set were Will Clark , Kevin Mitchell and Matt Williams , the Giants ' 3-4-5 hitters .|guy|pl|NN|[u'man.n.01']||NP|[]|['JJ']|False|[]|['in']|['cold']|[]|NN|False|True|False|3|False|PP|in|were|False|0.0|ZERO|THE
702|THE|"data/parsed/22/wsj_2202.mrg|37|44"|The cold guys in the set were Will Clark , Kevin Mitchell and Matt Williams , [ the Giants ' ] 3-4-5 hitters .|Giants|pl|NNP|[u'animal.n.01']||NPB|['POS']|[]|False|"[""'""]"|['3-4-5', u'hitter']|[]|['Williams', ',']|NN|True|False|False|0|False|||were||0.8|ZERO|THE
708|THE|"data/parsed/22/wsj_2202.mrg|38|55"|They combined for 25 hits , six home runs and 24 runs batted in in the five games against [ the Cubs . ]|Cubs|pl|NN|[u'novice.n.02']||PP|['.']|[]|False|['.']|[]|[]|[u'game', 'against']|NN|False|False|False|0|False|||combined|False|0.95|ZERO|THE
717|THE|"data/parsed/22/wsj_2202.mrg|40|50"|It 's that last set of numbers , as much as anything else , that gives [ the Giants ] hope in the Series games to come .|Giants|pl|NNP|[u'animal.n.01']||VP|[]|[]|True|[]|['hope', 'in']|[]|['that', u'give']|NN|True|False|False|0|False|||gives||0.64|ZERO|THE
777|THE|"data/parsed/22/wsj_2203.mrg|7|50"|NCR said revenue declined both in the U.S. and overseas , reflecting a world-wide softening of [ the computer markets . ]|market|pl|NN|[u'activity.n.01']||PP|['.']|['NN']|False|['.']|[]|['computer']|['softening', 'of']|NN|False|False|False|0|False|||reflecting|False|0.941176470588|ZERO|THE
798|THE|"data/parsed/22/wsj_2203.mrg|10|80"|In addition to a general slowing of the computer industry , NCR , which sells automated teller machines and computerized cash registers , is also affected by [ the retail and financial sectors , `` ] areas of the economy that have generally not been robust , '' notes S Sanjiv G. Hingorani , an analyst for Salomon Brothers Inc .|sector|pl|NN|[u'plane_figure.n.01']||NP|[',', '``']|['JJ', 'CC', 'JJ']|False|[',', '``']|[u'area', 'of']|['retail', 'and', 'financial']|[u'affect', 'by']|NN|False|True|False|12|False|NP|areas|is|False|0.509433962264|ZERO|THE
862|THE|"data/parsed/22/wsj_2204.mrg|1|79"|Concerning your Sept. 19 article `` Wall Street Firms Link Analysts ' Pay to Performance , '' I 'm delighted that Wall Street is finally tuning in to [ the hard , cold facts ] of the real working world .|fact|pl|NN|[u'information.n.02']||NP|[]|['JJ', ',', 'JJ']|False|[]|['of']|['hard', ',', 'cold']|['in', 'to']|NN|False|True|False|6|True|PP|of|is|False|0.8|ZERO|THE
866|THE|"data/parsed/22/wsj_2204.mrg|2|41"|If the firms are serious , however , why limit the practice to [ the poor , maligned analysts ] whose ability to see into the future is fragile at best ?|analyst|pl|NN|[u'expert.n.01']||NP|[]|['JJ', ',', 'JJ']|False|[]|['whose', 'ability']|['poor', ',', 'maligned']|['practice', 'to']|NN|False|True|False|12|False|SBAR|whose|limit|False|0.5|ZERO|THE
870|THE|"data/parsed/22/wsj_2204.mrg|3|25"|Why not extend the same harsh standards to [ the sales force , ] and pay brokers a base salary with annual bonus based on how much money they made for their clients during the year ?|force|sg|NN|[u'influence.n.01']||PP|[',']|['NNS']|False|[',']|['and', 'pay']|[u'sale']|[u'standard', 'to']|NN|False|False|False|0|False|||extend|False|0.25|ZERO|THE
905|THE|"data/parsed/22/wsj_2205.mrg|3|26"|`` I had calls all night long from [ the States , '' ] he said .|States|pl|NNP|[u'administrative_district.n.01']||PP|"[',', ""''""]"|[]|False|"[',', ""''""]"|['he', u'say']|[]|['long', 'from']|NN|True|False|False|0|False|||had||0.666666666667|ZERO|THE
919|THE|"data/parsed/22/wsj_2205.mrg|6|51"|For many of London 's securities traders , it was a day that started nervously in [ the small hours . ]|hour|pl|NN|[u'work_time.n.01']||PP|['.']|['JJ']|True|['.']|[]|['small']|['nervously', 'in']|NN|False|False|False|0|False|||started|True|0.941176470588|ZERO|THE
921|THE|"data/parsed/22/wsj_2205.mrg|7|11"|By lunchtime , [ the selling ] was at near-panic fever .|selling|sg|NN|[u'commerce.n.01']||S|[]|[]|False|[]|[u'be', 'at']|[]|['lunchtime', ',']|NN|False|False|False|0|False|||was|False|0.333333333333|ZERO|THE
925|THE|"data/parsed/22/wsj_2205.mrg|8|33"|But as the day ended in a frantic Wall Street-inspired rally , [ the City ] breathed a sigh of relief .|City|sg|NNP|[u'municipality.n.01']||S|[]|[]|False|[]|[u'breathe']|[]|['rally', ',']|NN|True|False|False|0|False|||breathed||0.631578947368|ZERO|THE
930|THE|"data/parsed/22/wsj_2205.mrg|9|18"|So it went yesterday in [ the trading rooms ] of London 's financial district .|room|pl|NN|[u'apartment.n.01']||NP|[]|['NN']|False|[]|['of', 'London']|['trading']|['yesterday', 'in']|NN|False|True|False|6|True|PP|of|went|False|0.416666666667|ZERO|THE
949|THE|"data/parsed/22/wsj_2205.mrg|12|40"|By the time trading officially got under way at 9 a.m. , [ the news ] from Asia was in .|news|sg|NN|[u'information.n.01']||NP|[]|[]|False|[]|['from', 'Asia']|[]|['a.m.', ',']|NN|False|True|False|2|False|PP|from|was|False|0.666666666667|ZERO|THE
965|THE|"data/parsed/22/wsj_2205.mrg|15|48"|At Jefferies ' trading room on Finsbury Circus , a stately circle at the edge of [ the financial district , ] desktop computer screens displayed the London market 's major barometer -- the Financial Times-Stock Exchange 100 Share Index .|district|sg|NN|[u'region.n.03']||PP|[',']|['JJ']|False|[',']|['desktop', 'computer']|['financial']|['edge', 'of']|NN|False|False|False|0|False|||displayed|False|0.444444444444|ZERO|THE
971|THE|"data/parsed/22/wsj_2205.mrg|16|12"|Red figures on [ the screens ] indicated falling stocks ; blue figures , rising stocks .|screen|pl|NN|[u'surface.n.01']||PP|[]|[]|True|[]|[u'indicate', u'fall']|[]|[u'figure', 'on']|NN|False|False|False|0|False|||indicated|True|0.214285714286|ZERO|THE
